number,assay_name,source,fst_96,h0,he,fst,fst_rank
54,Ots_RAD3470,a,no,0.499,0.493,0.007,108
55,Ots_RAD3425,a,yes,0.142,0.14,0.011,52
56,Ots_RAD3391,a,no,0.328,0.337,0.003,197
57,Ots_RAD3386,a,yes,0.382,0.384,0.024,5
58,Ots_RAD3092,a,no,0.501,0.487,0.003,208
59,Ots_RAD2856,a,no,0.318,0.316,0.006,125
60,Ots_RAD2687,a,yes,0.293,0.276,0.009,69
61,Ots_RAD2683,a,yes,0.485,0.477,0.009,80
62,Ots_RAD2677,a,yes,0.178,0.172,0.009,72
63,Ots_RAD2598,a,yes,0.402,0.392,0.013,31
64,Ots_RAD2442,a,no,0.462,0.449,0.001,228
65,Ots_RAD2357,a,no,0.435,0.444,0.005,158
66,Ots_RAD2255,a,no,0.483,0.486,0.007,118
67,Ots_RAD2234,a,no,0.39,0.406,0.004,183
68,Ots_RAD2207,a,yes,0.273,0.262,0.01,56
69,Ots_RAD2150,a,yes,0.494,0.488,0.008,88
70,Ots_RAD2102,a,yes,0.458,0.447,0.021,7
71,Ots_RAD2068,a,yes,0.099,0.096,0.009,85
72,Ots_RAD3635,a,no,0.311,0.321,0.005,161
73,Ots_RAD3703,a,yes,0.417,0.421,0.032,1
74,Ots_RAD3737,a,no,0.509,0.496,0.003,195
75,Ots_RAD3752,a,no,0.391,0.376,0.006,142
76,Ots_RAD6184,a,no,0.436,0.435,0.003,200
77,Ots_RAD6121,a,no,0.227,0.222,0.008,100
78,Ots_RAD6097,a,yes,0.33,0.334,0.013,32
79,Ots_RAD5848,a,yes,0.292,0.299,0.011,45
80,Ots_RAD5730,a,yes,0.429,0.491,0.011,54
81,Ots_RAD1510,a,yes,0.166,0.171,0.015,20
82,Ots_RAD5429,a,no,0.411,0.399,0.006,136
83,Ots_RAD5189,a,no,0.359,0.331,0.008,101
84,Ots_RAD4999,a,yes,0.467,0.471,0.013,29
85,Ots_RAD4778,a,yes,0.447,0.466,0.008,94
86,Ots_RAD4548,a,no,0.245,0.228,0.005,157
87,Ots_RAD4486,a,no,0.487,0.487,0.006,147
88,Ots_RAD4185,a,no,0.495,0.481,0.005,150
89,Ots_RAD3925,a,yes,0.482,0.489,0.014,27
90,Ots_RAD3858,a,yes,0.32,0.313,0.01,57
91,Ots_RAD3769,a,yes,0.329,0.34,0.011,49
92,Ots_RAD3766,a,yes,0.408,0.405,0.008,92
93,Ots_RAD5335,a,yes,0.473,0.472,0.011,43
94,Ots_RAD4438,a,no,0.236,0.231,0.006,129
95,Ots_RAD1372,a,yes,0.316,0.319,0.01,65
96,Ots_RAD10412,a,yes,0.079,0.078,0.009,70
97,Ots_100884-287,b,no,0.261,0.253,0.002,212
98,Ots_101119-381,b,no,0,0,0,
99,Ots_101554-407,b,yes,0.149,0.148,0.009,77
100,Ots_101704-143,b,yes,0.03,0.037,0.01,62
101,Ots_102213-210,b,no,0.022,0.022,-0.001,248
102,Ots_102414-395,b,no,0.506,0.49,0.003,206
103,Ots_102420-494,b,yes,0.479,0.473,0.026,4
104,Ots_102457-132,b,no,0.098,0.128,-0.001,246
105,Ots_102801-308,b,no,0.064,0.064,0.001,233
106,Ots_102867-609,b,yes,0.38,0.373,0.016,16
107,Ots_103041-52,b,no,0.207,0.202,0.002,213
108,Ots_103122-180,b,no,0.002,0.002,0.001,229
109,Ots_104063-132,b,yes,0.402,0.405,0.009,81
110,Ots_104415-88,b,yes,0.473,0.445,0.014,24
111,Ots_104569-86,b,no,0.216,0.208,0.007,113
112,Ots_105105-613,b,yes,0.291,0.296,0.01,58
113,Ots_105132-200,b,no,0.481,0.486,0.005,169
114,Ots_105385-421,b,no,0.509,0.494,0.005,166
115,Ots_105407-117,b,no,0.165,0.159,0.003,201
116,Ots_106499-70,b,no,0.465,0.457,0.004,180
117,Ots_106747-239,b,no,0.504,0.489,0.008,104
118,Ots_107074-284,b,no,0.379,0.379,0.002,225
119,Ots_107285-93,b,no,0,0,0,
120,Ots_107806-821,b,yes,0.475,0.469,0.008,86
121,Ots_108007-208,b,no,0.07,0.068,0.007,119
122,Ots_108390-329,b,no,0.095,0.095,0.003,202
123,Ots_108735-302,b,no,0.186,0.19,0.002,226
124,Ots_108820-336,b,yes,0.399,0.387,0.017,14
125,Ots_109525-816,b,no,0.011,0.01,0.001,231
126,Ots_109693-392,b,no,0.16,0.162,0.003,198
127,Ots_110064-383,b,no,0.405,0.391,0.006,144
128,Ots_110201-363,b,yes,0.489,0.477,0.011,41
129,Ots_110495-380,b,no,0.024,0.024,0.008,99
130,Ots_110551-64,b,no,0.381,0.37,0.005,171
131,Ots_110689-218,b,no,0.353,0.357,0.007,116
132,Ots_111084b-619*,b,no,,,,
133,Ots_111666-408*,b,no,,,,
134,Ots_111681-657,b,no,0,0,0,
135,Ots_112301-43,b,no,0.054,0.053,0.004,191
136,Ots_112419-131,b,no,0.042,0.043,0.003,199
137,Ots_112820-284,b,no,0.491,0.488,0.005,167
138,Ots_112876-371,b,no,0.424,0.418,0.001,235
139,Ots_113242-216,b,no,0.386,0.372,0.003,204
140,Ots_113457-40,b,no,0.478,0.489,0.001,236
141,Ots_115987-325,b,no,0.139,0.139,0.007,109
142,Ots_117242-136,b,no,0.15,0.144,0.006,133
143,Ots_117259-271,b,no,0,0,0,
144,Ots_117432-409,b,no,0.487,0.475,0,239
145,Ots_118175-479,b,no,0.266,0.265,0.002,209
146,Ots_118205-61,b,no,0.491,0.476,0.008,106
147,Ots_122414-56,b,no,0,0,0,
148,Ots_123048-521,b,no,0.448,0.446,0.002,216
149,Ots_123921-111,b,no,0.361,0.362,0.006,126
150,Ots_124774-477,b,no,0,0,0,
151,Ots_127236-62,b,no,0.303,0.301,0.004,181
152,Ots_127760-569,b,no,0.472,0.484,-0.001,250
153,Ots_128302-57,b,yes,0.502,0.492,0.009,83
154,Ots_128693-461,b,no,0.455,0.457,0.005,173
155,Ots_128757-61,b,no,0.099,0.1,0.005,170
156,Ots_129144-472,b,no,0,0,0,
157,Ots_129170-683,b,no,0,0,0,
158,Ots_129458-451,b,no,0.017,0.017,0.002,217
159,Ots_130720-99,b,no,0.484,0.494,0.004,192
160,Ots_131460-584,b,yes,0.454,0.435,0.008,87
161,Ots_131906-141,b,no,0.479,0.493,0.005,153
162,Ots_94857-232,b,yes,0.444,0.431,0.01,60
163,Ots_94903-99,b,yes,0.26,0.264,0.012,38
164,Ots_96222-525,b,no,0.381,0.389,0.005,159
165,Ots_96500-180,b,yes,0.287,0.274,0.01,67
166,Ots_96899-357,b,no,0.485,0.469,0.002,210
167,Ots_97077-179,b,no,0,0,0,
168,Ots_99550-204,b,no,0.194,0.192,0.006,139
169,Ots_AldB1-122,b,no,0.401,0.386,0.006,148
170,Ots_aldb-177M,b,no,0,0,0,
171,Ots_ALDBINT1-SNP1,b,no,0,0,0,
172,Ots_ARNT,b,yes,0.361,0.357,0.01,61
173,Ots_arp-436,b,no,0,0,0,
174,Ots_AsnRS-60,b,yes,0.476,0.467,0.009,73
175,Ots_aspat-196,b,no,0,0,0,
176,Ots_BMP2-SNP1,b,no,0,0,0,
177,Ots_brp16-64,b,no,0.345,0.343,-0.001,247
178,Ots_C3N3,b,no,0,0,0,
179,Ots_Cath_D141,b,no,0,0,0,
180,Ots_CCR7,b,no,0.202,0.205,-0.001,251
181,Ots_CD59-2,b,yes,0.414,0.429,0.009,71
182,Ots_CD63,b,no,0.218,0.215,0.008,102
183,Ots_CirpA,b,yes,0.332,0.325,0.012,36
184,Ots_cox1-241,b,no,0.303,0.306,0.004,179
185,Ots_DDX5-171,b,no,0,0,0,
186,Ots_DESMIN19-SNP1,b,yes,0.436,0.434,0.011,50
187,Ots_E2-275,b,no,0.403,0.393,0.007,114
188,Ots_EndoRB1-486,b,no,0,0,0,
189,Ots_EP-529,b,no,0.185,0.178,0.004,178
190,Ots_Est1363,b,yes,0.004,0.004,0.008,89
191,Ots_Est740,b,yes,0.191,0.189,0.012,39
192,Ots_ETIF1A,b,no,0.469,0.478,0,237
193,Ots_FARSLA-220,b,yes,0.053,0.053,0.03,2
194,Ots_FGF6A*,b,no,,,,
195,Ots_FGF6B_1,b,no,0.369,0.36,0.007,110
196,Ots_GCSH,b,no,0,0,-0.001,252
197,Ots_GDH-81x,b,no,0.236,0.232,0.005,154
198,Ots_GH2,b,yes,0.353,0.359,0.014,26
199,Ots_GPDH-338,b,yes,0.276,0.271,0.009,82
200,Ots_GPH-318,b,no,0.158,0.157,0.002,215
201,Ots_GST-207,b,yes,0.107,0.103,0.021,6
202,Ots_GTH2B-550,b,no,0.431,0.421,0.006,127
203,Ots_HFABP-34,b,no,0.286,0.293,0.003,207
204,Ots_HMGB1-73,b,no,0,0,0,
205,Ots_hnRNPL-533,b,no,0.389,0.377,0.001,230
206,Ots_hsc71-5'-453,b,no,0.001,0.001,0.001,234
207,Ots_hsp27b-150,b,no,0.16,0.159,0.001,232
208,Ots_Hsp90a,b,no,0.497,0.495,0.004,174
209,Ots_HSP90B-100*,b,no,,,,
210,Ots_HSP90B-385,b,yes,0.06,0.061,0.008,95
211,Ots_IGF-I-1-76,b,yes,0.482,0.483,0.018,10
212,Ots_Ikaros-250,b,yes,0.261,0.266,0.012,35
213,Ots_IL11,b,yes,0.089,0.089,0.009,84
214,Ots_il13Ra2B-37,b,no,0.073,0.071,0,243
215,Ots_il-1racp-166,b,yes,0.561,0.471,0.013,33
216,Ots_IL8R_C8,b,no,0.084,0.09,0.007,112
217,Ots_IsoT,b,yes,0.443,0.456,0.02,8
218,Ots_LWSop-638,b,yes,0.083,0.083,0.014,28
219,Ots_mapK-3'-309,b,no,0.129,0.129,0.002,223
220,Ots_mapKpr-151,b,no,0.263,0.268,0,240
221,Ots_MHC1,b,no,0.515,0.494,0.006,128
222,Ots_MHC2,b,yes,0.152,0.16,0.03,3
223,Ots_MTA-SNP1,b,no,0,0,0,
224,Ots_mybp-85,b,no,0.296,0.299,0.002,211
225,Ots_Myc-366,b,no,0,0,0,
226,Ots_myo1a-384,b,yes,0.21,0.208,0.011,51
227,Ots_myoD-364,b,no,0.245,0.254,0,244
228,Ots_NAML12-SNP1,b,no,0.186,0.186,0.004,175
229,Ots_nelfd-163,b,no,0.049,0.049,0.008,103
230,Ots_NFYB-147,b,no,0,0,0,
231,Ots_nkef-192,b,yes,0.288,0.291,0.011,46
232,Ots_NOD1,b,no,0.459,0.465,0.004,185
233,Ots_ntl-255,b,no,0.507,0.492,0.005,165
234,Ots_Ots311-101x,b,no,0,0,0,
235,Ots_P450,b,yes,0.321,0.324,0.011,42
236,Ots_P450-288,b,no,0.482,0.464,0.003,196
237,Ots_P53,b,yes,0.521,0.491,0.011,47
238,Ots_parp3-286,b,yes,0.375,0.375,0.016,15
239,Ots_PGK-54,b,yes,0.001,0.001,0.008,96
240,Ots_pop5-96,b,no,0.299,0.286,0.004,186
241,Ots_ppie-245,b,no,0.483,0.487,0.007,111
242,Ots_Prl2,b,yes,0.438,0.433,0.02,9
243,Ots_RAD1104-38,b,no,0.481,0.478,0.003,193
244,Ots_RAD1832-39,b,no,0.446,0.442,0.005,151
245,Ots_RAD3513-49,b,no,0.479,0.494,0.005,160
246,Ots_RAD7936-50,b,no,0.336,0.332,0.006,140
247,Ots_RAD8200-45,b,yes,0.482,0.46,0.01,63
248,Ots_RAD9480-51*,b,no,,,,
249,Ots_RAG3,b,no,0.02,0.02,0.007,122
250,Ots_redd1-187,b,yes,0.267,0.263,0.01,64
251,Ots_RFC2-558,b,no,0,0,0,
252,Ots_S7-1,b,no,0,0,0.004,184
253,Ots_SClkF2R2-135,b,no,0.501,0.488,0.005,155
254,Ots_SL,b,yes,0.418,0.416,0.014,23
255,Ots_stk6-516,b,no,0,0,0,
256,Ots_SWS1op-182,b,yes,0,0,0.015,18
257,Ots_TAPBP,b,yes,0.218,0.222,0.009,78
258,Ots_TCTA-58,b,no,0.166,0.166,0.006,137
259,Ots_TF1-SNP1,b,no,0.004,0.004,0,241
260,Ots_Tf-3545,b,no,0.098,0.096,-0.001,253
261,Ots_TGFB,b,no,0.485,0.493,0.006,131
262,Ots_Thio,b,yes,0.477,0.487,0.015,17
263,Ots_TLR3,b,no,0.505,0.493,0.008,107
264,Ots_Tnsf,b,yes,0.173,0.17,0.008,90
265,Ots_tpx2-125,b,no,0.037,0.04,0.003,205
266,Ots_txnip-321,b,no,0.028,0.028,0.007,115
267,Ots_u07-07-161,b,yes,0.311,0.313,0.015,21
268,Ots_u07-17-135,b,no,0.106,0.108,0.002,219
269,Ots_u07-18-378,b,no,0.003,0.003,-0.001,249
270,Ots_u07-19-260,b,no,0,0,0,
271,Ots_u07-25-325,b,no,0,0,0.002,227
272,Ots_u07-49-290,b,no,0.261,0.272,0.005,172
273,Ots_u07-53-133,b,no,0.377,0.361,0.004,176
274,Ots_u07-57-120,b,no,0.148,0.15,0.006,134
275,Ots_u1002-75,b,no,0.151,0.157,0.002,220
276,Ots_u1007-124,b,yes,0.1,0.096,0.015,19
277,Ots_u202-161,b,no,0.028,0.028,0.003,203
278,Ots_u211-85,b,no,0.033,0.032,0.004,187
279,Ots_U2362-227,b,no,0.308,0.298,0,238
280,Ots_U2362-330,b,no,0.128,0.126,0.008,97
281,Ots_U2446-123,b,no,0.445,0.421,0.006,138
282,Ots_u6-75,b,no,0.22,0.225,0.002,218
283,Ots_unk526,b,no,0.314,0.295,0.006,124
284,Ots_USMG5-67,b,no,0,0,0,
285,Ots_vatf-251,b,no,0,0,0,
286,Ots_zn593-346,b,no,0,0,0.006,135
287,Ots_zP3b-215,b,no,0.139,0.14,0.003,194
